Date, MaxTemperature, MinTemperature, AvgTemperature, AtObsTemperature, Precipitation, Snowfall, SnowDepth
2000-07-22, 97, 65, 81.0, 91, 0.00, 0.0, 0
2000-07-23, 101, M, M, 71, 0.00, 0.0, 0
2000-07-24, 98, 66, 82.0, 95, 0.00, 0.0, 0
2000-07-25, 100, 67, 83.5, 93, 0.00, 0.0, 0
2000-07-26, 100, M, M, 93, 0.00, 0.0, 0
2000-07-27, 101, 64, 82.5, 92, 0.00, 0.0, 0
2000-07-28, 102, 66, 84.0, 95, 0.00, 0.0, 0
2000-07-29, 95, 66, 80.5, 87, 0.00, 0.0, 0
2000-07-30, 100, 66, 83.0, 87, 0.00, 0.0, 0
2000-07-31, 101, 66, 83.5, 99, 0.00, 0.0, 0
2000-08-01, 103, 72, 87.5, 94, 0.00, 0.0, 0
2000-08-02, 97, 71, 84.0, 85, 0.00, 0.0, 0
2000-08-03, 100, 67, 83.5, 84, 0.00, 0.0, 0
2000-08-04, 100, 67, 83.5, 95, 0.00, 0.0, 0
2000-08-05, 103, 67, 85.0, 93, 0.00, 0.0, 0
2000-08-06, 99, 67, 83.0, 93, 0.00, 0.0, 0
2000-08-07, 94, 65, 79.5, 88, 0.00, 0.0, 0
2000-08-08, 98, 63, 80.5, 87, 0.00, 0.0, 0
2000-08-09, 98, 63, 80.5, 94, 0.00, 0.0, 0
2000-08-10, 104, 65, 84.5, 100, 0.00, 0.0, 0
2000-08-11, 107, 66, 86.5, 102, 0.00, 0.0, 0
2000-08-12, 104, 65, 84.5, 98, 0.00, 0.0, 0
2000-08-13, 104, 65, 84.5, 94, 0.00, 0.0, 0
2000-08-14, 103, 65, 84.0, 94, 0.00, 0.0, 0
2000-08-15, 104, 71, 87.5, 86, 0.00, 0.0, 0
2000-08-16, 104, 70, 87.0, 99, 0.00, 0.0, 0
2000-08-17, 100, 71, 85.5, 78, 0.00, 0.0, 0
2000-08-18, 99, 67, 83.0, 93, 0.00, 0.0, 0
2000-08-19, 100, 64, 82.0, 91, 0.00, 0.0, 0
2000-08-20, 94, 61, 77.5, 82, 0.00, 0.0, 0
2000-08-21, 96, 63, 79.5, 84, 0.00, 0.0, 0
2000-08-22, 98, 64, 81.0, 85, 0.00, 0.0, 0
2000-08-23, 96, 62, 79.0, 83, 0.00, 0.0, 0
2000-08-24, 96, 63, 79.5, 84, 0.00, 0.0, 0
2000-08-25, 99, 62, 80.5, 89, 0.00, 0.0, 0
2000-08-26, 97, 62, 79.5, 89, 0.00, 0.0, 0
2000-08-27, 90, 65, 77.5, 83, 0.00, 0.0, 0
2000-08-28, 84, 65, 74.5, 79, 0.00, 0.0, 0
2000-08-29, 79, 67, 73.0, 70, 0.00, 0.0, 0
2000-08-30, 84, 65, 74.5, 74, 0.00, 0.0, 0
2000-08-31, 83, 63, 73.0, 70, 0.00, 0.0, 0
