Date, MaxTemperature, MinTemperature, AvgTemperature, AtObsTemperature, Precipitation, Snowfall, SnowDepth
2000-11-08, 57, 50, 53.5, M, 0.00, M, M
2000-11-09, 55, 47, 51.0, M, 0.00, M, M
2000-11-10, 56, 44, 50.0, M, 0.00, M, M
2000-11-11, 57, 44, 50.5, M, 0.00, M, M
2000-11-12, 58, 43, 50.5, M, 0.00, M, M
2000-11-13, 55, 42, 48.5, M, 0.05, M, M
2000-11-14, 55, 44, 49.5, M, 0.00, M, M
2000-11-15, 57, 46, 51.5, M, 0.03, M, M
2000-11-16, 59, 46, 52.5, M, 0.16, M, M
2000-11-17, 63, 45, 54.0, M, 0.00, M, M
2000-11-18, 63, 46, 54.5, M, 0.00, M, M
2000-11-19, 62, 45, 53.5, M, 0.00, M, M
2000-11-20, 64, 46, 55.0, M, 0.00, M, M
2000-11-21, 55, 49, 52.0, M, 0.23, M, M
2000-11-22, 58, 50, 54.0, M, 0.00, M, M
2000-11-23, 54, 47, 50.5, M, 0.00, M, M
2000-11-24, 59, 49, 54.0, M, 0.00, M, M
2000-11-25, 54, 47, 50.5, M, 0.01, M, M
2000-11-26, 61, 46, 53.5, M, 0.00, M, M
2000-11-27, 56, 47, 51.5, M, 0.00, M, M
2000-11-28, 58, 47, 52.5, M, 0.37, M, M
2000-11-29, 60, 49, 54.5, M, 0.00, M, M
2000-11-30, 60, 47, 53.5, M, 0.00, M, M
2000-12-01, 60, 47, 53.5, M, 0.01, M, M
2000-12-02, 63, 45, 54.0, M, 0.00, M, M
2000-12-03, 59, 45, 52.0, M, 0.00, M, M
2000-12-04, 62, 48, 55.0, M, 0.00, M, M
2000-12-05, 64, 50, 57.0, M, 0.00, M, M
2000-12-06, 58, 46, 52.0, M, 0.00, M, M
2000-12-07, 64, 50, 57.0, M, 0.00, M, M
2000-12-08, 62, 51, 56.5, M, 0.00, M, M
2000-12-09, 57, 51, 54.0, M, 0.00, M, M
2000-12-10, 56, 49, 52.5, M, 0.00, M, M
2000-12-11, 55, 48, 51.5, M, 0.16, M, M
2000-12-12, 57, 47, 52.0, M, 0.13, M, M
2000-12-13, 56, 49, 52.5, M, 0.13, M, M
2000-12-14, 56, 51, 53.5, M, 0.41, M, M
2000-12-15, 60, 50, 55.0, M, 0.03, M, M
2000-12-16, 63, 48, 55.5, M, 0.00, M, M
2000-12-17, 64, 46, 55.0, M, 0.00, M, M
2000-12-18, 61, 50, 55.5, M, 0.00, M, M
2000-12-19, 63, 42, 52.5, M, 0.00, M, M
2000-12-20, 63, 49, 56.0, M, 0.00, M, M
2000-12-21, 57, 49, 53.0, M, 0.03, M, M
2000-12-22, 59, 50, 54.5, M, 0.00, M, M
2000-12-23, 55, 47, 51.0, M, 0.00, M, M
2000-12-24, 60, 48, 54.0, M, 0.00, M, M
2000-12-25, 60, 46, 53.0, M, 0.00, M, M
2000-12-26, 62, 47, 54.5, M, 0.00, M, M
2000-12-27, 62, 47, 54.5, M, 0.00, M, M
2000-12-28, 65, 46, 55.5, M, 0.00, M, M
2000-12-29, 60, 46, 53.0, M, 0.00, M, M
2000-12-30, 62, 44, 53.0, M, 0.00, M, M
2000-12-31, 64, 44, 54.0, M, 0.00, M, M
2001-01-01, 64, 47, 55.5, M, 0.00, M, M
2001-01-02, 68, 48, 58.0, M, 0.00, M, M
2001-01-03, 63, 46, 54.5, M, 0.00, M, M
2001-01-04, 65, 47, 56.0, M, 0.00, M, M
2001-01-05, 65, 46, 55.5, M, 0.00, M, M
2001-01-06, 62, 45, 53.5, M, 0.00, M, M
2001-01-07, 56, 48, 52.0, M, 0.03, M, M
2001-01-08, 56, 48, 52.0, M, 0.53, M, M
2001-01-09, 51, 45, 48.0, M, 0.09, M, M
2001-01-10, 57, 47, 52.0, M, 0.76, M, M
2001-01-11, 51, 46, 48.5, M, 0.83, M, M
2001-01-12, 56, 46, 51.0, M, 0.01, M, M
2001-01-13, 55, 47, 51.0, M, 0.00, M, M
2001-01-14, 56, 44, 50.0, M, 0.00, M, M
2001-01-15, 58, 44, 51.0, M, 0.00, M, M
2001-01-16, 55, 45, 50.0, M, 0.00, M, M
2001-01-17, 58, 44, 51.0, M, 0.00, M, M
2001-01-18, 56, 41, 48.5, M, 0.00, M, M
2001-01-19, 60, 46, 53.0, M, 0.00, M, M
2001-01-20, 56, 45, 50.5, M, 0.00, M, M
2001-01-21, 57, 43, 50.0, M, 0.00, M, M
2001-01-22, 61, 44, 52.5, M, 0.00, M, M
2001-01-23, 55, 48, 51.5, M, 0.46, M, M
2001-01-24, 54, 44, 49.0, M, 0.17, M, M
2001-01-25, 52, 42, 47.0, M, 0.70, M, M
2001-01-26, 53, 42, 47.5, M, 0.04, M, M
2001-01-27, 59, 41, 50.0, M, 0.00, M, M
2001-01-28, 61, 43, 52.0, M, 0.00, M, M
2001-01-29, 56, 46, 51.0, M, 0.14, M, M
2001-01-30, 55, 42, 48.5, M, 0.00, M, M
2001-01-31, 62, 42, 52.0, M, 0.00, M, M
2001-02-01, 60, 43, 51.5, M, 0.00, M, M
2001-02-02, 61, 46, 53.5, M, 0.00, M, M
2001-02-03, 70, 48, 59.0, M, 0.00, M, M
2001-02-04, 73, 53, 63.0, M, 0.00, M, M
2001-02-05, 64, 49, 56.5, M, 0.00, M, M
2001-02-06, 53, 46, 49.5, M, 0.04, M, M
2001-02-07, 57, 42, 49.5, M, 0.00, M, M
2001-02-08, 57, 45, 51.0, M, 0.00, M, M
2001-02-09, 51, 44, 47.5, M, 1.34, M, M
2001-02-10, 52, 43, 47.5, M, 0.89, M, M
2001-02-11, 51, 42, 46.5, M, 0.71, M, M
2001-02-12, 46, 36, 41.0, M, 0.54, M, M
2001-02-13, 61, 41, 51.0, M, 0.00, M, M
2001-02-14, 57, 44, 50.5, M, 0.00, M, M
2001-02-15, 56, 44, 50.0, M, 0.00, M, M
2001-02-16, 58, 46, 52.0, M, 0.00, M, M
2001-02-17, 59, 50, 54.5, M, 0.71, M, M
2001-02-18, 58, 50, 54.0, M, 0.09, M, M
2001-02-19, 59, 50, 54.5, M, 0.65, M, M
2001-02-20, 57, 49, 53.0, M, 0.41, M, M
2001-02-21, 59, 49, 54.0, M, 0.18, M, M
2001-02-22, 54, 45, 49.5, M, 0.81, M, M
2001-02-23, 54, 42, 48.0, M, 0.08, M, M
2001-02-24, 54, 43, 48.5, M, 0.93, M, M
2001-02-25, 57, 48, 52.5, M, 0.35, M, M
2001-02-26, 64, 46, 55.0, M, 0.00, M, M
2001-02-27, 68, 46, 57.0, M, 0.00, M, M
2001-02-28, 64, 51, 57.5, M, 0.00, M, M
2001-03-01, 59, 45, 52.0, M, 0.08, M, M
2001-03-02, 56, 45, 50.5, M, 0.18, M, M
2001-03-03, 56, 45, 50.5, M, 0.24, M, M
2001-03-04, 57, 49, 53.0, M, 0.84, M, M
2001-03-05, 63, 49, 56.0, M, 0.12, M, M
2001-03-06, 64, 52, 58.0, M, 0.01, M, M
2001-03-07, 60, 50, 55.0, M, 0.00, M, M
2001-03-08, 57, 47, 52.0, M, 0.00, M, M
2001-03-09, 58, 46, 52.0, M, 0.00, M, M
2001-03-10, 60, 46, 53.0, M, 0.00, M, M
2001-03-11, 60, 46, 53.0, M, 0.00, M, M
2001-03-12, 61, 47, 54.0, M, 0.00, M, M
2001-03-13, 56, 47, 51.5, M, 0.00, M, M
2001-03-14, 66, 46, 56.0, M, 0.00, M, M
2001-03-15, 57, 48, 52.5, M, 0.00, M, M
2001-03-16, 59, 49, 54.0, M, 0.00, M, M
2001-03-17, 66, 48, 57.0, M, 0.00, M, M
2001-03-18, 73, 49, 61.0, M, 0.00, M, M
2001-03-19, 77, 51, 64.0, M, 0.00, M, M
2001-03-20, 77, 55, 66.0, M, 0.00, M, M
2001-03-21, 59, 52, 55.5, M, 0.00, M, M
2001-03-22, 62, 52, 57.0, M, 0.00, M, M
2001-03-23, 61, 52, 56.5, M, 0.00, M, M
2001-03-24, 68, 51, 59.5, M, 0.07, M, M
2001-03-25, 62, 52, 57.0, M, 0.04, M, M
2001-03-26, 65, 48, 56.5, M, 0.00, M, M
2001-03-27, 65, 49, 57.0, M, 0.00, M, M
2001-03-28, 61, 51, 56.0, M, 0.00, M, M
2001-03-29, 61, 48, 54.5, M, 0.00, M, M
2001-03-30, 75, 49, 62.0, M, 0.00, M, M
2001-03-31, 68, 50, 59.0, M, 0.00, M, M
2001-04-01, 57, 47, 52.0, M, 0.00, M, M
2001-04-02, 56, 45, 50.5, M, 0.00, M, M
2001-04-03, 54, 41, 47.5, M, 0.00, M, M
2001-04-04, 61, 43, 52.0, M, 0.00, M, M
2001-04-05, 56, 47, 51.5, M, 0.00, M, M
2001-04-06, 53, 46, 49.5, M, 0.26, M, M
2001-04-07, 54, 43, 48.5, M, 0.25, M, M
2001-04-08, 54, 43, 48.5, M, 0.00, M, M
2001-04-09, 56, 42, 49.0, M, 0.28, M, M
2001-04-10, 57, 48, 52.5, M, 0.01, M, M
2001-04-11, 54, 47, 50.5, M, 0.07, M, M
2001-04-12, 62, 44, 53.0, M, 0.00, M, M
2001-04-13, 54, 46, 50.0, M, 0.00, M, M
2001-04-14, 55, 44, 49.5, M, 0.00, M, M
2001-04-15, 56, 43, 49.5, M, 0.00, M, M
2001-04-16, 65, 47, 56.0, M, 0.00, M, M
2001-04-17, 69, 53, 61.0, M, 0.00, M, M
2001-04-18, 66, 50, 58.0, M, 0.06, M, M
2001-04-19, 57, 49, 53.0, M, 0.02, M, M
2001-04-20, 54, 45, 49.5, M, 0.91, M, M
2001-04-21, 59, 43, 51.0, M, 0.00, M, M
2001-04-22, 58, 47, 52.5, M, 0.00, M, M
2001-04-23, 64, 47, 55.5, M, 0.00, M, M
2001-04-24, 70, 48, 59.0, M, 0.00, M, M
2001-04-25, 63, 48, 55.5, M, 0.00, M, M
2001-04-26, 57, 48, 52.5, M, 0.00, M, M
2001-04-27, 56, 48, 52.0, M, 0.02, M, M
2001-04-28, 59, 49, 54.0, M, 0.01, M, M
2001-04-29, 62, 47, 54.5, M, 0.00, M, M
2001-04-30, 64, 50, 57.0, M, 0.00, M, M
2001-05-01, 66, 51, 58.5, M, 0.00, M, M
2001-05-02, 75, 50, 62.5, M, 0.00, M, M
2001-05-03, 78, 58, 68.0, M, 0.00, M, M
2001-05-04, 74, 51, 62.5, M, 0.00, M, M
2001-05-05, 70, 51, 60.5, M, 0.00, M, M
2001-05-06, 75, 50, 62.5, M, 0.00, M, M
2001-05-07, 93, 54, 73.5, M, 0.00, M, M
2001-05-08, 81, 55, 68.0, M, 0.00, M, M
2001-05-09, 69, 52, 60.5, M, 0.00, M, M
2001-05-10, 72, 50, 61.0, M, 0.00, M, M
2001-05-11, 63, 53, 58.0, M, 0.00, M, M
2001-05-12, 65, 53, 59.0, M, 0.00, M, M
2001-05-13, 61, 52, 56.5, M, 0.00, M, M
2001-05-14, 62, 51, 56.5, M, 0.00, M, M
2001-05-15, 65, 54, 59.5, M, 0.00, M, M
2001-05-16, 65, 52, 58.5, M, 0.00, M, M
2001-05-17, 67, 51, 59.0, M, 0.00, M, M
2001-05-18, 69, 52, 60.5, M, 0.00, M, M
2001-05-19, 64, 52, 58.0, M, 0.00, M, M
2001-05-20, 69, 52, 60.5, M, 0.00, M, M
2001-05-21, 70, 52, 61.0, M, 0.00, M, M
2001-05-22, 69, 52, 60.5, M, 0.00, M, M
2001-05-23, 65, 51, 58.0, M, 0.00, M, M
2001-05-24, 64, 49, 56.5, M, 0.00, M, M
2001-05-25, 62, 49, 55.5, M, 0.00, M, M
2001-05-26, 64, 51, 57.5, M, 0.00, M, M
2001-05-27, 63, 51, 57.0, M, 0.00, M, M
2001-05-28, 65, 52, 58.5, M, 0.00, M, M
2001-05-29, 76, 53, 64.5, M, 0.00, M, M
2001-05-30, M, 56, M, M, 0.00, M, M
2001-05-31, 90, 62, 76.0, M, 0.00, M, M
2001-06-01, 63, 51, 57.0, M, 0.00, M, M
2001-06-02, 63, 50, 56.5, M, 0.00, M, M
2001-06-03, 67, 51, 59.0, M, 0.00, M, M
2001-06-04, 69, 49, 59.0, M, 0.00, M, M
2001-06-05, 72, 50, 61.0, M, 0.00, M, M
2001-06-06, 74, 50, 62.0, M, 0.00, M, M
2001-06-07, 79, 54, 66.5, M, 0.00, M, M
2001-06-08, 63, 52, 57.5, M, 0.00, M, M
2001-06-09, 63, 51, 57.0, M, 0.00, M, M
2001-06-10, 63, 50, 56.5, M, 0.00, M, M
2001-06-11, 62, 51, 56.5, M, 0.00, M, M
2001-06-12, 65, 51, 58.0, M, 0.00, M, M
2001-06-13, 78, 50, 64.0, M, 0.00, M, M
2001-06-14, 79, 53, 66.0, M, 0.00, M, M
2001-06-15, 73, 51, 62.0, M, 0.00, M, M
2001-06-16, 74, 51, 62.5, M, 0.00, M, M
